id,isbn,numcopies,title,author,genre,cover,desc,collection
0,9780385498418,1,Woman: An Intimate Geography,Natalie Angier,,https://covers.openlibrary.org/b/isbn/9780385498418-M.jpg,No description available.,other
1,9780679434597,1,A History of the Breast,Marilyn Yalom,"Breast -- Social aspects., Breast -- History., Breast in art., Breast in literature.",https://covers.openlibrary.org/b/isbn/9780679434597-M.jpg,No description available.,history
2,9780692238066,1,A Boy Like Me,Jennie Wood,"Juvenile fiction, Transgender youth, Sexual orientation, High schools",https://covers.openlibrary.org/b/isbn/9780692238066-M.jpg,"Born a girl, Peyton Honeycutt meets Tara Parks in the eighth grade bathroom shortly after he gets his first period. It is the best and worst day of his life. Determined to impress Tara, Peyton sets out to win her love by mastering the drums and basketball. He takes on Tara's small-minded mother, the bully at school, and the prejudices within his conservative hometown. In the end, Peyton must accept and stand up for who he is or lose the woman he loves.",fiction
3,9780307396402,1,Lucy's Legacy: The Quest For Human Origins,Donald C. Johanson,,https://covers.openlibrary.org/b/isbn/9780307396402-M.jpg,"'""In his New York times bestseller, Lucy: the beginnings of humankind, renowned paleoanthropologist Donald Johanson told the incredible story of his discovery of a partial female skeleton that revolutionized the study of human origins. Since that dramatic find in 1974, there has been heated debate and more groundbreaking research--including the discovery of Ardi--that have further transformed our understanding of when and how humans evolved""--Cover p. 4",other
4,9781594480201,1,Beijing Doll,Chun Sue,"Sue, Chun, Fiction - General, Fiction, General, Fiction / General, Translations into English",https://covers.openlibrary.org/b/isbn/9781594480201-M.jpg,No description available.,fiction
5,9780807003329,1,They're Bankrupting Us!: And Twenty Other Myths About Unions,"Fletcher, Bill Jr","History, Labor unions, Labor movement",https://covers.openlibrary.org/b/isbn/9780807003329-M.jpg,No description available.,history
6,9780618493333,1,100 Words Almost Everyone Confuses & Misuses,,"English language -- Usage., English language -- Homonyms., English language -- Synonyms and antonyms.",https://covers.openlibrary.org/b/isbn/9780618493333-M.jpg,No description available.,other
7,9780853459187,1,Shadows of Tender Fury: The Letters And Communiqués Of Subcomandante Marcos And The Zapatista Army Of National Liberation,Subcomandante Marcos,"Marcos, subcomandante -- Correspondence, Ejército Zapatista de Liberación Nacional (Mexico), Revolutionaries -- Mexico -- Chiapas -- Correspondence, Chiapas (Mexico) -- History -- Peasant Uprising, 1994-, Mexico -- Politics and government -- 1988-",https://covers.openlibrary.org/b/isbn/9780853459187-M.jpg,"'Since the 1994 uprisings in the Mexican state of Chiapas, the spokesman of the Zapatista Army of National Liberation, a masked rebel who calls himself Subcomandante Marcos, has become a symbol of revolt in the post-cold war era. Here are the words of Marcos, words that recast Mexican politics and revived rebel imaginations everywhere.\n\nThey look back to the traditions of Indian resistance and the dormant ideals of the Mexican revolution; they look forward to political strategies, styles, and theories that challenge the dominance of capitalism.\n\nThe Introduction by John Ross situates the Zapatistas in the context of Mexican history and the Afterword by Frank Bardacke discusses their language and politics, as well as their meaning for the U.S. left. This edition also includes an ""exclusive"" prologue by Subcomandante Marcos and his speech to the Zapatista\'s August 1994 national convention",history
8,9780520243194,1,When Women Come First: Gender And Class In Transnational Migration,Sheba Mariam George,"Women, East Indian -- United States -- Social conditions., Women immigrants -- United States -- Social conditions., Women, East Indian -- Employment -- United States., Women immigrants -- Employment -- Social aspects -- United States., Nurses -- United States -- Social conditions., East Indians -- United States -- Social conditions., Sex role -- United States., Man-woman relationships -- United States., Man-woman relationships -- India., Transnationalism.",https://covers.openlibrary.org/b/isbn/9780520243194-M.jpg,No description available.,social science
9,9780896087439,1,Conquest: Sexual Violence And American Indian Genocide,Andrea Smith,"Indian women -- Crimes against -- North America, Indian women -- Colonization -- North America, Indian women -- North America -- Social conditions, Indians, Treatment of -- North America -- History, Violence -- North America, North America -- Race relations, North America -- Politics and government",https://covers.openlibrary.org/b/isbn/9780896087439-M.jpg,No description available.,history
10,9780805078411,1,The Trouble with Diversity: How We Learned To Love Identity And Ignore Inequality,Walter Benn Michaels,"Social classes -- United States, Equality -- United States, Multiculturalism -- United States, Race awareness -- United States, Group identity -- United States, Social justice -- United States, United States -- Social conditions -- 21st century",https://covers.openlibrary.org/b/isbn/9780805078411-M.jpg,No description available.,social science
11,9780520276697,1,Labor and the Locavore the Making of a Comprehensive Food Ethic,,,https://covers.openlibrary.org/b/isbn/9780520276697-M.jpg,No description available.,other
12,9780393352733,1,Of Poetry & Protest: From Emmett Till To Trayvon Martin,"Philip Cushway, Michael Warr","Race relations, African Americans, American poetry, African American authors, Poetry",https://covers.openlibrary.org/b/isbn/9780393352733-M.jpg,"'This work illuminates today\'s Black experience through the voices of transformative and powerful African American poets.  Included in this volume are the poems of 43 African American wordsmiths, including Pulitzer Prize-winning poets Rita Dove, Natasha Tretheway, Yusef Komunyakaa, and Tracy K. Smith. Each is accompanied by a photograph of the poet along with a first-person biography. The anthology also contains personal essays on race such as ""The Talk"" by Jeannine Amber and works by Harry Belafonte, Amiri Baraka, and The Reverend Dr. William Barber II, architect of the Moral Mondays movement, as well as images and iconic political posters of the Black Lives Matter movement, Malcolm X, and the Black Panther Party. Taken together, Of Poetry and Protest gives voice to the current conversation about race in America while also providing historical and cultural context",art
13,9781580052269,1,It's a Jungle Out There: The Feminist Survival Guide To Politically Inhospitable Environments,Amanda Marcotte,"American - General, Topic - Political, Humor / Political, Feminism & Feminist Theory, General, Social Science, Literature - Classics / Criticism, Sociology",https://covers.openlibrary.org/b/isbn/9781580052269-M.jpg,No description available.,social science
14,9788499925479,1,Cuestión De Educación: Un Viaje Por La Enseñanza Española,Inés García-Albi,"Education, history",https://covers.openlibrary.org/b/isbn/9788499925479-M.jpg,No description available.,history
15,9780898624656,1,Women's Growth in Connection: Writings From The Stone Center,,"Women -- Psychology, Self-actualization (Psychology), Self",https://covers.openlibrary.org/b/isbn/9780898624656-M.jpg,No description available.,social science
16,9780136061328,1,Gender in Cross-cultural Perspective,,Sex role -- Cross-cultural studies,https://covers.openlibrary.org/b/isbn/9780136061328-M.jpg,No description available.,gender studies
17,9788427713338,1,Palabras De Mujeres: Escritoras Españolas Contemporáneas,,"Women authors, Mexican -- 20th century -- Interviews, Women and literature -- Mexico -- History -- 20th century, Authors, Mexican -- 20th century -- Interviews, Autoras mexicanas -- Siglo XX -- Entrevistas, Mujeres y literatura -- México -- Historia -- Siglo XX, Autores mexicanos -- Siglo XX -- Entrevistas, Écrivaines mexicaines -- 20e siècle -- Entretiens, Femmes et littérature -- Mexique -- Histoire -- 20e siècle, Écrivains mexicains -- 20e siècle -- Entretiens, Spaans, Letterkunde",https://covers.openlibrary.org/b/isbn/9788427713338-M.jpg,No description available.,history
18,9780452274426,1,In the Time of the Butterflies,,,https://covers.openlibrary.org/b/isbn/9780452274426-M.jpg,No description available.,other
19,9788497420112,1,"Memoria De Un Colegio : ""estilo"", Una Experiencia De Educación En Libertad Sobre La Base De La Comunidad: ""estilo"", Una Experiencia De Educación En Libertad Sobre La Base De La Comunidad",Amelia Castilla,,https://covers.openlibrary.org/b/isbn/9788497420112-M.jpg,No description available.,other
20,9780679745082,1,"Feminism in Our Time: The Essential Writings, World War Ii To The Present",Miriam Schneir,"Feminism -- United States -- History, Women -- United States -- History",https://covers.openlibrary.org/b/isbn/9780679745082-M.jpg,No description available.,history
