genre,count
Juvenile fiction,2
Sexual orientation,3
Fiction - General,4
Fiction,10
General,13
Fiction / General,3
Translations into English,2
History,10
Sex role -- United States.,2
Race relations,2
Poetry,3
American - General,2
Feminism & Feminist Theory,7
Social Science,26
Literature - Classics / Criticism,2
Sociology,29
Women -- Psychology,2
Feminism -- United States -- History,2
Women -- United States -- History,2
United States,14
Women's studies,6
Textbooks,2
Women's Studies - General,14
Women,13
Sociology - General,3
Feminism,6
Social conditions,7
Gay men -- Fiction.,3
Cultural studies,3
Gay & Lesbian studies,3
Gender Studies,7
Gay Studies,6
Lesbian Studies,4
Social Science / Gay Studies,3
Pro-choice movement,2
Business & Economics,2
Business / Economics / Finance,3
Prevention,2
Business/Economics,2
Labor,2
Women & Business,2
Sex discrimination in employment,2
Biography: general,2
Biography / Autobiography,5
Biography,7
Gay liberation movement,2
Human Sexuality,2
Social life and customs,3
Sexual behavior,2
Sex customs,2
Self-Help,4
Diet / Health / Fitness,2
Health Care Issues,2
Sexuality,2
Women -- Psychology.,2
Political Science,3
Politics/International Relations,3
Politics / Current Events,5
Politics and government,2
Essays,2
Feminist theory,2
Gender studies,3
Psychology,9
Islamic Studies,2
Islam,2
Men's Studies - Masculinity,2
Masculinity,2
Men,2
Religious aspects,2
Anthropology,2
Reference,3
Homosexuality,2
Abortion,3
Social Science / Women's Studies,8
POLITICS & GOVERNMENT,2
Biography & Autobiography,4
History - General History,3
Biography/Autobiography,4
Love / Sex / Marriage,2
Sexual Instruction,2
Self-Help / Sexual Instruction,2
Sex,2
United States - General,2
Social reformers,2
Leadership in women,2
20th century,2
History - General,2
Art & Art Instruction,2
Art,2
Sociology - Marriage & Family,3
USA,3
Ethnic Studies - General,2
Media Studies,3
Women in advertising,2
Marketing - Research,2
Femmes dans la publicitâe,2
Women consumers,2
Literature: Classics,2
Personal Memoirs,2
Social movements,2
Women's Studies - History,2
Education,2
Culture,2
Manners And Customs,2
Pop Arts / Pop Culture,3
Popular Culture - General,2
Weddings,2
Social Science / Popular Culture,2
Customs & Traditions,2
Costs,2
Planning,2
Shopping,2
Coping with disability,2
Disability: social aspects,2
Women's health,2
Sociology Of The Mentally And Physically Challenged,2
Social Services & Welfare,2
Handicapped,2
Anthropology - Cultural,2
"Comic books, strips",2
