genre,count
Juvenile fiction,2
Sexual orientation,3
Fiction - General,7
Fiction,16
General,17
Fiction / General,3
Translations into English,2
History,16
Sex role -- United States.,3
Race relations,3
Poetry,3
American - General,2
Feminism & Feminist Theory,10
Social Science,32
Literature - Classics / Criticism,4
Sociology,38
Women -- Psychology,6
United States,13
Women's studies,8
Textbooks,2
Women's Studies - General,13
Women,20
Sociology - General,4
Feminism,8
Social conditions,9
Sex discrimination against women -- United States,2
Philosophy,2
Gay men -- Fiction.,4
Cultural studies,3
Gay & Lesbian studies,5
Gender Studies,9
Gay Studies,10
Lesbian Studies,7
Social Science / Gay Studies,4
Modern fiction,2
Historical - General,2
Pro-choice movement,2
Business & Economics,2
Business / Economics / Finance,3
Prevention,2
Business/Economics,2
Labor,2
Women & Business,2
Sex discrimination in employment,3
Biography: general,2
Social history,3
Biography / Autobiography,8
Specific Groups - Male Gay Studies,2
Biography,9
Gay liberation movement,2
Human Sexuality,4
Social life and customs,4
Sexual behavior,3
Sex customs,2
Self-Help,3
Women -- United States.,2
Women -- Psychology.,2
Political Science,3
Politics/International Relations,3
Politics / Current Events,6
Politics and government,3
Essays,4
Feminist theory,2
Gender studies,4
Psychology,11
Stress (Psychology),2
Sex differences (Psychology),2
Islamic Studies,3
Islam,2
Men's Studies - Masculinity,2
Social Science / Gender Studies,2
Masculinity,2
Men,2
Religious aspects,2
Anthropology,4
Anthropology - General,2
Clothing and dress -- History,2
"Terrorism, united states",2
"Terrorism, prevention",2
Interpersonal relations,2
Reference,3
Homosexuality,4
Abortion,3
Social Science / Women's Studies,7
POLITICS & GOVERNMENT,2
"Sociology, Social Studies",2
Biography & Autobiography,7
History - General History,4
Biography/Autobiography,6
Japan,2
Love / Sex / Marriage,2
Sexual Instruction,2
Self-Help / Sexual Instruction,2
Sex,2
Reasoning,2
Logic,2
United States - General,3
History / General,2
Social reformers,2
Leadership in women,2
20th century,3
History - General,2
Art & Art Instruction,2
Art,2
Sociology - Marriage & Family,2
USA,4
Ethnic Studies - General,4
Media Studies,2
History: World,3
Cross-cultural studies,2
Sex role,3
Literature: Classics,3
People of Color,2
Personal Memoirs,3
Social movements,2
Women's Studies - History,2
Women journalists,2
Short Stories (single author),2
Fiction / Short Stories (single author),2
Education,2
Pop Arts / Pop Culture,2
Popular Culture - General,2
African American women,2
Literary collections,2
Fundamentalism.,2
Ethnography,2
Indonesia,2
Bali,2
Social Science / Ethnic Studies,2
Bali (Province),2
Anthropology - Cultural,4
Asia - General,2
Ethnology,2
"Comic books, strips",2
Middle East,2
Social Science / Islamic Studies,2
Gays,2
History: American,2
American literature,2
"Fiction, romance, general",2
Anorexia nervosa.,2
Women -- psychology,2
Gay/Lesbian Nonfiction,2
Feminism -- United States,2
Sources,2
Women -- United States -- Biography.,2
"United States -- History -- Colonial period, ca. 1600-1775.",2
